USC00461393,"CANAAN VALLEY, WV US",10/10/1962,,,,,0.01,0,0,64,47,59,
USC00461393,"CANAAN VALLEY, WV US",10/11/1962,,,,,0,0,0,73,45,66,
USC00461393,"CANAAN VALLEY, WV US",10/12/1962,,,,,0,0,0,73,46,68,
USC00461393,"CANAAN VALLEY, WV US",10/13/1962,,,,,0,0,0,73,45,63,
USC00461393,"CANAAN VALLEY, WV US",10/14/1962,,,,,0.15,0,0,78,40,64,
USC00461393,"CANAAN VALLEY, WV US",10/15/1962,,,,,0,0,0,76,47,69,
USC00461393,"CANAAN VALLEY, WV US",10/16/1962,,,,,0.16,0,0,74,47,69,
USC00461393,"CANAAN VALLEY, WV US",10/17/1962,,,,,0.02,0,0,69,47,52,
USC00461393,"CANAAN VALLEY, WV US",10/18/1962,,,,,0,0,0,55,23,57,
USC00461393,"CANAAN VALLEY, WV US",10/19/1962,,,,,0,0,0,60,24,54,
USC00461393,"CANAAN VALLEY, WV US",10/20/1962,,,,,0,0,0,66,26,61,
USC00461393,"CANAAN VALLEY, WV US",10/21/1962,,,,,0,0,0,62,29,58,
USC00461393,"CANAAN VALLEY, WV US",10/22/1962,,,,,0.35,0,0,60,45,45,
USC00461393,"CANAAN VALLEY, WV US",10/23/1962,,,,,0.07,0,0,55,33,50,
USC00461393,"CANAAN VALLEY, WV US",10/24/1962,,,,,0.08,2,1,50,34,36,
USC00461393,"CANAAN VALLEY, WV US",10/25/1962,,,,,0.18,2,3,36,28,30,
USC00461393,"CANAAN VALLEY, WV US",10/26/1962,,,,,0.35,4,7,30,17,20,
USC00461393,"CANAAN VALLEY, WV US",10/27/1962,,,,,0,0,4,37,12,34,
USC00461393,"CANAAN VALLEY, WV US",10/28/1962,,,,,0,0,0,60,22,58,
USC00461393,"CANAAN VALLEY, WV US",10/29/1962,,,,,0.22,0,0,60,36,45,
USC00461393,"CANAAN VALLEY, WV US",10/30/1962,,,,,0.67,0,0,50,27,49,
USC00461393,"CANAAN VALLEY, WV US",10/31/1962,,,,,0.55,0,0,50,32,37,
USC00461393,"CANAAN VALLEY, WV US",11/1/1962,,,,,0,0,0,37,29,34,
USC00461393,"CANAAN VALLEY, WV US",11/2/1962,,,,,0,0,0,47,19,37,
USC00461393,"CANAAN VALLEY, WV US",11/3/1962,,,,,0.12,1,1,39,25,33,
USC00461393,"CANAAN VALLEY, WV US",11/4/1962,,,,,0,0,0,37,30,33,
USC00461393,"CANAAN VALLEY, WV US",11/5/1962,,,,,0.22,1,0,36,30,33,
USC00461393,"CANAAN VALLEY, WV US",11/6/1962,,,,,0,0,0,37,23,33,
USC00461393,"CANAAN VALLEY, WV US",11/7/1962,,,,,0,0,0,51,16,45,
USC00461393,"CANAAN VALLEY, WV US",11/8/1962,,,,,0,0,0,47,33,45,
USC00461393,"CANAAN VALLEY, WV US",11/9/1962,,,,,0.32,0,0,45,37,40,
USC00461393,"CANAAN VALLEY, WV US",11/10/1962,,,,,1.98,0,0,52,36,40,
USC00461393,"CANAAN VALLEY, WV US",11/11/1962,,,,,0.38,0,0,40,36,36,
USC00461393,"CANAAN VALLEY, WV US",11/12/1962,,,,,0,0,0,55,20,45,
USC00461393,"CANAAN VALLEY, WV US",11/13/1962,,,,,0,0,0,47,30,32,
USC00461393,"CANAAN VALLEY, WV US",11/14/1962,,,,,0,0,0,40,30,35,
USC00461393,"CANAAN VALLEY, WV US",11/15/1962,,,,,0,0,0,55,28,47,
USC00461393,"CANAAN VALLEY, WV US",11/16/1962,,,,,0,0,0,48,30,48,
USC00461393,"CANAAN VALLEY, WV US",11/17/1962,,,,,0.28,0,0,55,42,51,
USC00461393,"CANAAN VALLEY, WV US",11/18/1962,,,,,0.67,0,0,51,29,29,
USC00461393,"CANAAN VALLEY, WV US",11/19/1962,,,,,0,0,0,40,25,34,
USC00461393,"CANAAN VALLEY, WV US",11/20/1962,,,,,0.07,0,0,36,29,35,
USC00461393,"CANAAN VALLEY, WV US",11/21/1962,,,,,0.23,0,0,52,34,47,
USC00461393,"CANAAN VALLEY, WV US",11/22/1962,,,,,0.5,0,0,50,25,25,
USC00461393,"CANAAN VALLEY, WV US",11/23/1962,,,,,0.17,1,0,37,18,35,
USC00461393,"CANAAN VALLEY, WV US",11/24/1962,,,,,0,0,0,48,30,30,
USC00461393,"CANAAN VALLEY, WV US",11/25/1962,,,,,0,0,0,38,19,30,
USC00461393,"CANAAN VALLEY, WV US",11/26/1962,,,,,0,0,0,35,15,29,
USC00461393,"CANAAN VALLEY, WV US",11/27/1962,,,,,0,0,0,42,23,31,
USC00461393,"CANAAN VALLEY, WV US",11/28/1962,,,,,0,0,0,48,27,40,
USC00461393,"CANAAN VALLEY, WV US",11/29/1962,,,,,0,0,0,53,30,43,
USC00461393,"CANAAN VALLEY, WV US",11/30/1962,,,,,0,0,0,57,37,47,
USC00461393,"CANAAN VALLEY, WV US",12/1/1962,,,,,0,0,0,64,19,48,
USC00461393,"CANAAN VALLEY, WV US",12/2/1962,,,,,0,0,0,60,17,47,
USC00461393,"CANAAN VALLEY, WV US",12/3/1962,,,,,0,0,0,60,14,50,
USC00461393,"CANAAN VALLEY, WV US",12/4/1962,,,,,0,0,0,57,26,45,
USC00461393,"CANAAN VALLEY, WV US",12/5/1962,,,,,0,0,0,55,26,46,
USC00461393,"CANAAN VALLEY, WV US",12/6/1962,,,,,1.21,15,15,46,17,17,
USC00461393,"CANAAN VALLEY, WV US",12/7/1962,,,,,0.89,7,22,19,17,19,
USC00461393,"CANAAN VALLEY, WV US",12/8/1962,,,,,0,0,22,27,15,25,
USC00461393,"CANAAN VALLEY, WV US",12/9/1962,,,,,0.36,4,26,27,15,15,
USC00461393,"CANAAN VALLEY, WV US",12/10/1962,,,,,0.25,3,29,15,5,8,
USC00461393,"CANAAN VALLEY, WV US",12/11/1962,,,,,0.15,2,31,12,3,3,
USC00461393,"CANAAN VALLEY, WV US",12/12/1962,,,,,0,0,31,3,-11,-3,
USC00461393,"CANAAN VALLEY, WV US",12/13/1962,,,,,0,0,31,8,-8,8,
USC00461393,"CANAAN VALLEY, WV US",12/14/1962,,,,,0.24,3,34,10,3,10,
USC00461393,"CANAAN VALLEY, WV US",12/15/1962,,,,,0,0,34,33,7,31,
USC00461393,"CANAAN VALLEY, WV US",12/16/1962,,,,,0,0,34,33,20,29,
USC00461393,"CANAAN VALLEY, WV US",12/17/1962,,,,,0,0,30,37,21,37,
USC00461393,"CANAAN VALLEY, WV US",12/18/1962,,,,,0,0,22,42,28,39,
USC00461393,"CANAAN VALLEY, WV US",12/19/1962,,,,,0,0,20,48,28,43,
USC00461393,"CANAAN VALLEY, WV US",12/20/1962,,,,,0,0,20,43,27,29,
USC00461393,"CANAAN VALLEY, WV US",12/21/1962,,,,,0.89,6,26,30,12,30,
USC00461393,"CANAAN VALLEY, WV US",12/22/1962,,,,,0.42,1,27,38,24,24,
USC00461393,"CANAAN VALLEY, WV US",12/23/1962,,,,,0.08,1,28,30,21,25,
USC00461393,"CANAAN VALLEY, WV US",12/24/1962,,,,,0,0,28,25,6,17,
USC00461393,"CANAAN VALLEY, WV US",12/25/1962,,,,,0.12,1,24,36,16,32,
USC00461393,"CANAAN VALLEY, WV US",12/26/1962,,,,,0.38,0,24,36,24,24,
USC00461393,"CANAAN VALLEY, WV US",12/27/1962,,,,,0,0,20,37,21,33,
USC00461393,"CANAAN VALLEY, WV US",12/28/1962,,,,,0,0,14,36,20,26,
USC00461393,"CANAAN VALLEY, WV US",12/29/1962,,,,,0.75,5,18,35,10,32,
USC00461393,"CANAAN VALLEY, WV US",12/30/1962,,,,,0.25,2,20,32,4,5,
USC00461393,"CANAAN VALLEY, WV US",12/31/1962,,,,,0.35,3,23,6,-5,2,
USC00461393,"CANAAN VALLEY, WV US",1/1/1963,,,,,0,0,23,12,-4,8,
USC00461393,"CANAAN VALLEY, WV US",1/2/1963,,,,,0,0,23,26,-3,19,
USC00461393,"CANAAN VALLEY, WV US",1/3/1963,,,,,0,0,22,32,4,20,
USC00461393,"CANAAN VALLEY, WV US",1/4/1963,,,,,0,0,22,30,7,26,
USC00461393,"CANAAN VALLEY, WV US",1/5/1963,,,,,0,0,21,37,0,30,
USC00461393,"CANAAN VALLEY, WV US",1/6/1963,,,,,0,0,21,35,27,28,
USC00461393,"CANAAN VALLEY, WV US",1/7/1963,,,,,0,0,18,39,26,33,
USC00461393,"CANAAN VALLEY, WV US",1/8/1963,,,,,0,0,18,33,24,24,
USC00461393,"CANAAN VALLEY, WV US",1/9/1963,,,,,0,0,12,45,22,43,
USC00461393,"CANAAN VALLEY, WV US",1/10/1963,,,,,0,0,10,48,30,42,
USC00461393,"CANAAN VALLEY, WV US",1/11/1963,,,,,0,0,6,51,36,49,
USC00461393,"CANAAN VALLEY, WV US",1/12/1963,,,,,0.83,0,3,50,37,45,
USC00461393,"CANAAN VALLEY, WV US",1/13/1963,,,,,0.05,1,3,45,10,10,
USC00461393,"CANAAN VALLEY, WV US",1/14/1963,,,,,0,0,3,19,2,16,
USC00461393,"CANAAN VALLEY, WV US",1/15/1963,,,,,0,0,3,25,7,20,
USC00461393,"CANAAN VALLEY, WV US",1/16/1963,,,,,0,0,2,29,16,29,
USC00461393,"CANAAN VALLEY, WV US",1/17/1963,,,,,0,0,0,42,12,35,
USC00461393,"CANAAN VALLEY, WV US",1/18/1963,,,,,0,0,0,46,21,40,
USC00461393,"CANAAN VALLEY, WV US",1/19/1963,,,,,0,0,0,45,17,40,
USC00461393,"CANAAN VALLEY, WV US",1/20/1963,,,,,0.42,0,0,42,32,35,
USC00461393,"CANAAN VALLEY, WV US",1/21/1963,,,,,0,0,0,35,-4,4,
USC00461393,"CANAAN VALLEY, WV US",1/22/1963,,,,,0,0,0,36,1,33,
USC00461393,"CANAAN VALLEY, WV US",1/23/1963,,,,,0.25,3,2,39,5,9,
USC00461393,"CANAAN VALLEY, WV US",1/24/1963,,,,,0.08,1,3,9,-23,0,
USC00461393,"CANAAN VALLEY, WV US",1/25/1963,,,,,0,0,3,14,-7,12,
USC00461393,"CANAAN VALLEY, WV US",1/26/1963,,,,,0.09,1,4,30,7,26,
USC00461393,"CANAAN VALLEY, WV US",1/27/1963,,,,,0.6,8,12,26,0,0,
USC00461393,"CANAAN VALLEY, WV US",1/28/1963,,,,,0.06,1,13,6,-10,4,
USC00461393,"CANAAN VALLEY, WV US",1/29/1963,,,,,0,0,13,32,-24,30,
USC00461393,"CANAAN VALLEY, WV US",1/30/1963,,,,,0.02,0,12,32,16,28,
USC00461393,"CANAAN VALLEY, WV US",1/31/1963,,,,,0.09,1,13,28,15,18,
USC00461393,"CANAAN VALLEY, WV US",2/1/1963,,,,,0.13,1,14,33,7,25,
USC00461393,"CANAAN VALLEY, WV US",2/2/1963,,,,,0.43,0,10,45,22,43,
USC00461393,"CANAAN VALLEY, WV US",2/3/1963,,,,,0.13,0,2,42,7,11,
USC00461393,"CANAAN VALLEY, WV US",2/4/1963,,,,,0,0,1,40,2,36,
USC00461393,"CANAAN VALLEY, WV US",2/5/1963,,,,,0,0,0,49,22,43,
USC00461393,"CANAAN VALLEY, WV US",2/6/1963,,,,,0,0,0,56,15,46,
USC00461393,"CANAAN VALLEY, WV US",2/7/1963,,,,,0,0,0,48,23,39,
USC00461393,"CANAAN VALLEY, WV US",2/8/1963,,,,,0,0,0,39,1,16,
USC00461393,"CANAAN VALLEY, WV US",2/9/1963,,,,,0.1,2,2,28,8,22,
USC00461393,"CANAAN VALLEY, WV US",2/10/1963,,,,,0.05,0,0,38,22,36,
USC00461393,"CANAAN VALLEY, WV US",2/11/1963,,,,,0.15,0,0,39,27,27,
USC00461393,"CANAAN VALLEY, WV US",2/12/1963,,,,,0.52,7,7,27,12,12,
USC00461393,"CANAAN VALLEY, WV US",2/13/1963,,,,,0.18,3,10,15,9,15,
USC00461393,"CANAAN VALLEY, WV US",2/14/1963,,,,,0.21,3,13,20,12,12,
USC00461393,"CANAAN VALLEY, WV US",2/15/1963,,,,,0.19,2,15,12,-3,2,
USC00461393,"CANAAN VALLEY, WV US",2/16/1963,,,,,0,0,15,18,-16,14,
USC00461393,"CANAAN VALLEY, WV US",2/17/1963,,,,,0,0,15,33,-10,29,
USC00461393,"CANAAN VALLEY, WV US",2/18/1963,,,,,0,0,12,40,15,37,
USC00461393,"CANAAN VALLEY, WV US",2/19/1963,,,,,0.81,7,19,38,20,28,
USC00461393,"CANAAN VALLEY, WV US",2/20/1963,,,,,0.07,1,15,37,26,37,
USC00461393,"CANAAN VALLEY, WV US",2/21/1963,,,,,0.15,2,17,37,0,0,
USC00461393,"CANAAN VALLEY, WV US",2/22/1963,,,,,0,0,17,4,-14,2,
USC00461393,"CANAAN VALLEY, WV US",2/23/1963,,,,,0,0,17,23,-5,22,
USC00461393,"CANAAN VALLEY, WV US",2/24/1963,,,,,0.37,4,21,30,20,25,
USC00461393,"CANAAN VALLEY, WV US",2/25/1963,,,,,0.27,3,24,30,13,29,
USC00461393,"CANAAN VALLEY, WV US",2/26/1963,,,,,0.41,6,30,28,2,8,
USC00461393,"CANAAN VALLEY, WV US",2/27/1963,,,,,0,0,30,22,-26,20,
USC00461393,"CANAAN VALLEY, WV US",2/28/1963,,,,,0.09,1,30,37,13,32,
USC00461393,"CANAAN VALLEY, WV US",3/1/1963,,,,,0.34,0,24,40,30,39,
USC00461393,"CANAAN VALLEY, WV US",3/2/1963,,,,,0.47,0,20,40,22,25,
USC00461393,"CANAAN VALLEY, WV US",3/3/1963,,,,,0,0,10,46,12,44,
USC00461393,"CANAAN VALLEY, WV US",3/4/1963,,,,,0.17,0,6,50,21,45,
USC00461393,"CANAAN VALLEY, WV US",3/5/1963,,,,,1.47,0,0,52,36,49,
USC00461393,"CANAAN VALLEY, WV US",3/6/1963,,,,,0.7,1,0,48,25,25,
USC00461393,"CANAAN VALLEY, WV US",3/7/1963,,,,,0,0,0,32,24,29,
USC00461393,"CANAAN VALLEY, WV US",3/8/1963,,,,,0,0,0,40,26,37,
USC00461393,"CANAAN VALLEY, WV US",3/9/1963,,,,,0,0,0,47,30,42,
USC00461393,"CANAAN VALLEY, WV US",3/10/1963,,,,,0.35,4,2,42,27,33,
USC00461393,"CANAAN VALLEY, WV US",3/11/1963,,,,,0.57,6,5,37,17,37,
USC00461393,"CANAAN VALLEY, WV US",3/12/1963,,,,,0.87,0,0,52,37,50,
USC00461393,"CANAAN VALLEY, WV US",3/13/1963,,,,,0,0,0,57,26,53,
USC00461393,"CANAAN VALLEY, WV US",3/14/1963,,,,,0,0,0,53,27,31,
USC00461393,"CANAAN VALLEY, WV US",3/15/1963,,,,,0,0,0,48,12,43,
USC00461393,"CANAAN VALLEY, WV US",3/16/1963,,,,,0.25,0,0,48,22,42,
USC00461393,"CANAAN VALLEY, WV US",3/17/1963,,,,,0.74,0,0,62,40,55,
USC00461393,"CANAAN VALLEY, WV US",3/18/1963,,,,,0,0,0,59,31,40,
USC00461393,"CANAAN VALLEY, WV US",3/19/1963,,,,,2.17,0,0,46,25,40,
USC00461393,"CANAAN VALLEY, WV US",3/20/1963,,,,,0.37,3,2,50,27,27,
USC00461393,"CANAAN VALLEY, WV US",3/21/1963,,,,,0.83,8,10,27,17,21,
USC00461393,"CANAAN VALLEY, WV US",3/22/1963,,,,,0.27,3,13,25,18,22,
USC00461393,"CANAAN VALLEY, WV US",3/23/1963,,,,,0,0,6,42,16,39,
USC00461393,"CANAAN VALLEY, WV US",3/24/1963,,,,,0,0,0,57,32,57,
USC00461393,"CANAAN VALLEY, WV US",3/25/1963,,,,,0,0,0,64,35,60,
USC00461393,"CANAAN VALLEY, WV US",3/26/1963,,,,,0.47,0,0,62,34,38,
USC00461393,"CANAAN VALLEY, WV US",3/27/1963,,,,,0.17,1,0,49,30,46,
USC00461393,"CANAAN VALLEY, WV US",3/28/1963,,,,,0,0,0,62,38,60,
USC00461393,"CANAAN VALLEY, WV US",3/29/1963,,,,,0,0,0,70,27,65,
USC00461393,"CANAAN VALLEY, WV US",3/30/1963,,,,,0.05,0,0,70,49,51,
USC00461393,"CANAAN VALLEY, WV US",3/31/1963,,,,,0,0,0,64,46,56,
USC00461393,"CANAAN VALLEY, WV US",4/1/1963,,,,,0.16,0,0,70,46,65,
USC00461393,"CANAAN VALLEY, WV US",4/2/1963,,,,,0,0,0,74,48,68,
USC00461393,"CANAAN VALLEY, WV US",4/3/1963,,,,,0,0,0,78,50,74,
USC00461393,"CANAAN VALLEY, WV US",4/4/1963,,,,,0.03,0,0,74,31,35,
USC00461393,"CANAAN VALLEY, WV US",4/5/1963,,,,,0,0,0,48,22,43,
USC00461393,"CANAAN VALLEY, WV US",4/6/1963,,,,,0,0,0,60,17,55,
USC00461393,"CANAAN VALLEY, WV US",4/7/1963,,,,,0,0,0,60,23,56,
USC00461393,"CANAAN VALLEY, WV US",4/8/1963,,,,,0,0,0,59,21,40,
USC00461393,"CANAAN VALLEY, WV US",4/9/1963,,,,,0.5,0,0,50,38,45,
USC00461393,"CANAAN VALLEY, WV US",4/10/1963,,,,,0,0,0,46,20,33,
USC00461393,"CANAAN VALLEY, WV US",4/11/1963,,,,,0,0,0,42,24,39,
USC00461393,"CANAAN VALLEY, WV US",4/12/1963,,,,,0,0,0,47,25,43,
USC00461393,"CANAAN VALLEY, WV US",4/13/1963,,,,,0,0,0,46,25,37,
USC00461393,"CANAAN VALLEY, WV US",4/14/1963,,,,,0,0,0,50,22,42,
USC00461393,"CANAAN VALLEY, WV US",4/15/1963,,,,,0,0,0,50,25,44,
USC00461393,"CANAAN VALLEY, WV US",4/16/1963,,,,,0,0,0,62,17,58,
USC00461393,"CANAAN VALLEY, WV US",4/17/1963,,,,,0.47,0,0,68,46,68,
USC00461393,"CANAAN VALLEY, WV US",4/18/1963,,,,,0.7,0,0,70,50,65,
USC00461393,"CANAAN VALLEY, WV US",4/19/1963,,,,,0,0,0,80,45,74,
USC00461393,"CANAAN VALLEY, WV US",4/20/1963,,,,,0.13,0,0,74,46,60,
USC00461393,"CANAAN VALLEY, WV US",4/21/1963,,,,,0,0,0,75,36,61,
USC00461393,"CANAAN VALLEY, WV US",4/22/1963,,,,,0.23,0,0,66,44,56,
USC00461393,"CANAAN VALLEY, WV US",4/23/1963,,,,,0.92,0,0,65,30,30,
USC00461393,"CANAAN VALLEY, WV US",4/24/1963,,,,,0.04,1,0,42,28,35,
USC00461393,"CANAAN VALLEY, WV US",4/25/1963,,,,,0,0,0,52,24,48,
USC00461393,"CANAAN VALLEY, WV US",4/26/1963,,,,,0,0,0,55,22,50,
USC00461393,"CANAAN VALLEY, WV US",4/27/1963,,,,,0,0,0,57,25,54,
USC00461393,"CANAAN VALLEY, WV US",4/28/1963,,,,,0,0,0,62,25,60,
USC00461393,"CANAAN VALLEY, WV US",4/29/1963,,,,,0.15,0,0,60,42,44,
USC00461393,"CANAAN VALLEY, WV US",4/30/1963,,,,,0.45,0,0,63,42,47,
USC00461393,"CANAAN VALLEY, WV US",5/1/1963,,,,,0.24,2,0,47,23,36,
USC00461393,"CANAAN VALLEY, WV US",5/2/1963,,,,,0,0,0,56,23,56,
USC00461393,"CANAAN VALLEY, WV US",5/3/1963,,,,,0,0,0,72,22,60,
USC00461393,"CANAAN VALLEY, WV US",5/4/1963,,,,,0,0,0,75,31,75,
USC00461393,"CANAAN VALLEY, WV US",5/5/1963,,,,,0,0,0,75,34,69,
USC00461393,"CANAAN VALLEY, WV US",5/6/1963,,,,,0,0,0,69,46,65,
USC00461393,"CANAAN VALLEY, WV US",5/7/1963,,,,,0,0,0,69,33,69,
USC00461393,"CANAAN VALLEY, WV US",5/8/1963,,,,,0,0,0,76,45,74,
USC00461393,"CANAAN VALLEY, WV US",5/9/1963,,,,,0,0,0,81,62,77,
USC00461393,"CANAAN VALLEY, WV US",5/10/1963,,,,,0,0,0,81,60,79,
USC00461393,"CANAAN VALLEY, WV US",5/11/1963,,,,,0.3,0,0,79,39,45,
USC00461393,"CANAAN VALLEY, WV US",5/12/1963,,,,,0,0,0,54,25,45,
USC00461393,"CANAAN VALLEY, WV US",5/13/1963,,,,,0.08,0,0,56,40,55,
USC00461393,"CANAAN VALLEY, WV US",5/14/1963,,,,,1.34,0,0,67,47,65,
USC00461393,"CANAAN VALLEY, WV US",5/15/1963,,,,,0.13,0,0,66,39,60,
USC00461393,"CANAAN VALLEY, WV US",5/16/1963,,,,,0,0,0,73,43,69,
USC00461393,"CANAAN VALLEY, WV US",5/17/1963,,,,,0.43,0,0,70,39,59,
USC00461393,"CANAAN VALLEY, WV US",5/18/1963,,,,,0.76,0,0,62,48,60,
USC00461393,"CANAAN VALLEY, WV US",5/19/1963,,,,,0.04,0,0,69,46,67,
USC00461393,"CANAAN VALLEY, WV US",5/20/1963,,,,,0.05,0,0,67,44,56,
USC00461393,"CANAAN VALLEY, WV US",5/21/1963,,,,,0.44,0,0,62,29,62,
USC00461393,"CANAAN VALLEY, WV US",5/22/1963,,,,,0,0,0,62,43,52,
USC00461393,"CANAAN VALLEY, WV US",5/23/1963,,,,,0,0,0,55,29,50,
USC00461393,"CANAAN VALLEY, WV US",5/24/1963,,,,,0,0,0,64,21,59,
USC00461393,"CANAAN VALLEY, WV US",5/25/1963,,,,,0,0,0,62,40,57,
USC00461393,"CANAAN VALLEY, WV US",5/26/1963,,,,,0,0,0,66,47,62,
USC00461393,"CANAAN VALLEY, WV US",5/27/1963,,,,,0,0,0,62,50,50,
USC00461393,"CANAAN VALLEY, WV US",5/28/1963,,,,,0,0,0,62,51,57,
USC00461393,"CANAAN VALLEY, WV US",5/29/1963,,,,,0.27,0,0,70,55,67,
USC00461393,"CANAAN VALLEY, WV US",5/30/1963,,,,,0,0,0,68,50,63,
USC00461393,"CANAAN VALLEY, WV US",5/31/1963,,,,,0,0,0,70,38,65,
USC00461393,"CANAAN VALLEY, WV US",6/1/1963,,,,,0,0,0,70,42,68,
USC00461393,"CANAAN VALLEY, WV US",6/2/1963,,,,,0,0,0,69,42,57,
USC00461393,"CANAAN VALLEY, WV US",6/3/1963,,,,,1.04,0,0,60,52,59,
USC00461393,"CANAAN VALLEY, WV US",6/4/1963,,,,,0.5,0,0,62,45,59,
USC00461393,"CANAAN VALLEY, WV US",6/5/1963,,,,,0.03,0,0,70,55,65,
USC00461393,"CANAAN VALLEY, WV US",6/6/1963,,,,,0,0,0,72,58,70,
USC00461393,"CANAAN VALLEY, WV US",6/7/1963,,,,,0.08,0,0,72,62,70,
USC00461393,"CANAAN VALLEY, WV US",6/8/1963,,,,,0,0,0,75,60,74,
USC00461393,"CANAAN VALLEY, WV US",6/9/1963,,,,,0.22,0,0,79,51,74,
USC00461393,"CANAAN VALLEY, WV US",6/10/1963,,,,,0.03,0,0,80,66,79,
USC00461393,"CANAAN VALLEY, WV US",6/11/1963,,,,,1.89,0,0,79,55,65,
USC00461393,"CANAAN VALLEY, WV US",6/12/1963,,,,,0.02,0,0,65,42,50,
USC00461393,"CANAAN VALLEY, WV US",6/13/1963,,,,,0.11,0,0,65,45,64,
USC00461393,"CANAAN VALLEY, WV US",6/14/1963,,,,,0,0,0,70,48,65,
USC00461393,"CANAAN VALLEY, WV US",6/15/1963,,,,,0,0,0,66,49,61,
USC00461393,"CANAAN VALLEY, WV US",6/16/1963,,,,,0,0,0,64,40,62,
USC00461393,"CANAAN VALLEY, WV US",6/17/1963,,,,,0,0,0,70,34,65,
USC00461393,"CANAAN VALLEY, WV US",6/18/1963,,,,,0,0,0,75,39,70,
USC00461393,"CANAAN VALLEY, WV US",6/19/1963,,,,,0,0,0,75,43,72,
USC00461393,"CANAAN VALLEY, WV US",6/20/1963,,,,,0.53,0,0,72,55,65,
USC00461393,"CANAAN VALLEY, WV US",6/21/1963,,,,,0.17,0,0,65,42,55,
USC00461393,"CANAAN VALLEY, WV US",6/22/1963,,,,,0,0,0,69,30,65,
USC00461393,"CANAAN VALLEY, WV US",6/23/1963,,,,,0,0,0,76,30,74,
USC00461393,"CANAAN VALLEY, WV US",6/24/1963,,,,,0,0,0,76,36,75,
USC00461393,"CANAAN VALLEY, WV US",6/25/1963,,,,,0,0,0,83,38,78,
USC00461393,"CANAAN VALLEY, WV US",6/26/1963,,,,,0,0,0,84,40,76,
USC00461393,"CANAAN VALLEY, WV US",6/27/1963,,,,,0,0,0,83,39,75,
USC00461393,"CANAAN VALLEY, WV US",6/28/1963,,,,,0.08,0,0,77,57,67,
USC00461393,"CANAAN VALLEY, WV US",6/29/1963,,,,,0.13,0,0,82,52,77,
USC00461393,"CANAAN VALLEY, WV US",6/30/1963,,,,,0.41,0,0,81,52,65,
USC00461393,"CANAAN VALLEY, WV US",7/1/1963,,,,,0.49,0,0,81,52,79,
USC00461393,"CANAAN VALLEY, WV US",7/2/1963,,,,,0.92,0,0,79,55,73,
USC00461393,"CANAAN VALLEY, WV US",7/3/1963,,,,,1.02,0,0,72,56,64,
USC00461393,"CANAAN VALLEY, WV US",7/4/1963,,,,,0.02,0,0,67,40,65,
USC00461393,"CANAAN VALLEY, WV US",7/5/1963,,,,,0,0,0,70,38,67,
USC00461393,"CANAAN VALLEY, WV US",7/6/1963,,,,,0,0,0,72,38,66,
USC00461393,"CANAAN VALLEY, WV US",7/7/1963,,,,,0,0,0,80,42,75,
USC00461393,"CANAAN VALLEY, WV US",7/8/1963,,,,,0,0,0,75,55,65,
USC00461393,"CANAAN VALLEY, WV US",7/9/1963,,,,,0,0,0,65,35,60,
USC00461393,"CANAAN VALLEY, WV US",7/10/1963,,,,,0,0,0,62,32,60,
USC00461393,"CANAAN VALLEY, WV US",7/11/1963,,,,,0,0,0,68,38,60,
USC00461393,"CANAAN VALLEY, WV US",7/12/1963,,,,,0,0,0,75,35,65,
USC00461393,"CANAAN VALLEY, WV US",7/13/1963,,,,,0.23,0,0,75,38,60,
USC00461393,"CANAAN VALLEY, WV US",7/14/1963,,,,,0.75,0,0,67,54,64,
USC00461393,"CANAAN VALLEY, WV US",7/15/1963,,,,,0.09,0,0,75,58,70,
USC00461393,"CANAAN VALLEY, WV US",7/16/1963,,,,,0.11,0,0,77,50,65,
USC00461393,"CANAAN VALLEY, WV US",7/17/1963,,,,,0,0,0,84,47,78,
USC00461393,"CANAAN VALLEY, WV US",7/18/1963,,,,,0,0,0,80,55,70,
USC00461393,"CANAAN VALLEY, WV US",7/19/1963,,,,,0,0,0,79,55,75,
USC00461393,"CANAAN VALLEY, WV US",7/20/1963,,,,,0.25,0,0,74,61,65,
USC00461393,"CANAAN VALLEY, WV US",7/21/1963,,,,,0.47,0,0,72,53,67,
USC00461393,"CANAAN VALLEY, WV US",7/22/1963,,,,,0.3,0,0,72,50,65,
USC00461393,"CANAAN VALLEY, WV US",7/23/1963,,,,,1.07,0,0,72,48,60,
USC00461393,"CANAAN VALLEY, WV US",7/24/1963,,,,,0.03,0,0,75,50,70,
USC00461393,"CANAAN VALLEY, WV US",7/25/1963,,,,,0,0,0,80,48,73,
USC00461393,"CANAAN VALLEY, WV US",7/26/1963,,,,,0.17,0,0,80,50,77,
USC00461393,"CANAAN VALLEY, WV US",7/27/1963,,,,,0,0,0,78,52,75,
USC00461393,"CANAAN VALLEY, WV US",7/28/1963,,,,,0.22,0,0,82,55,70,
USC00461393,"CANAAN VALLEY, WV US",7/29/1963,,,,,0.26,0,0,76,59,67,
USC00461393,"CANAAN VALLEY, WV US",7/30/1963,,,,,0.05,0,0,75,59,71,
USC00461393,"CANAAN VALLEY, WV US",7/31/1963,,,,,0,0,0,80,48,75,
USC00461393,"CANAAN VALLEY, WV US",8/1/1963,,,,,0.23,0,0,76,57,73,
USC00461393,"CANAAN VALLEY, WV US",8/2/1963,,,,,0,0,0,74,48,69,
USC00461393,"CANAAN VALLEY, WV US",8/3/1963,,,,,0.37,0,0,77,52,77,
